"text","categoria"
"﻿I don't even have any more thoughts and prayers at this point. I just have anger.",0
"My own understanding feels rage anger and frustration in the midst of another shooting. But I remember Proverbs 3:5",0
"Anger is a common response to grief. Nobody can tell you not to be angry after the . But try to breathe and seek inner calm.",0
" One phrase you left out This son of a bitch was a terrorist! Or is that anger just reserved for athletes and show",0
"Can I say I'm numb Can I say I no longer have adequate words All I have is horror and anger. Something must change.",0
"Oh this situation just makes me shake with anger. This is just too much and too far. Something needs to be done. Right now",0
"Feeling so much anger from the . So many innocent lives taken and traumatized",0
"Tried to hold off reading about the as long as I could...didn t want to let any anger in my but I read it and now I m angry. As a country and as HUMANS we need to do better.",0
"Fuck prayers. My thoughts and anger are with those who continue to enable this.",0
"We must voice our anger with and all those fighting against common sense rules for weapons. This is insane!",0
"keeps fueling this kind of anger and hate with his many tweets calling the news media an enemy of the people!. Attacks on have increased since 2017!",0
"When are we going to stop this insanity I bet the guns were legally obtained.Fuck the .",0
"I can't wait for all the republicans to pretend they give a fuck about the LGBT Community by hating muslims",0
"Notice to all GOP's. We don't want your prayers we want action so either do something about it or shut the fuck up.",0
"Wouldn't have stopped this shooting but fuck and",0
"Assault weapon Fuck you media it's a WAR WEAPON !!Let's call it what it is a weapon meant to inflict mass casualties",0
"Stop the Gun violence. Ban guns not abortions for fuck sake America!!!!",0
"He was Islamic Who gives a fuck Based on his actions he was a pile of shit. No religion or race changes his actions.",0
"What the fuck is it going to take to put an end to gun violence",0
"Fuck all that other shit MAKE AMERICA SAFE AGAIN!!!",0
" How the Fuck can you walk into a hotel with that much shit 19 guns",0
"What the fuck is wrong with this asshole",0
"Stop arguing about gun control IMMEDIATELY after a tragedy takes place ffs. Srsly fuck you morons and fuck you Paddock.",0
"Fuck prayers. Vegas doesn't need prayers it and the country need a ban on fucking automatic weapons.",0
"Fuck guns and fuck you if you disagree with heavier restrictions. It should be IMPOSSIBLE to get a gun.",0
"fuck the whitie that killed 58 people he aint shit other than fucking garbage",0
"I try to stay as unpolitical on this account on Twitch and on YouTube as much as humanly possible but when I see people turning the into a fucking political debate about race and shit I get pissed the fuck off.",0
"What the fuck with the guns America How is this ok How does this not change",0
"We are the epitome of love and acceptance. Fuck u for killing our but u can't kill our",0
"So many people in light of the shooting saying the LGBT community should stop coddling Islam. And they can all fuck off.",0
"The They must be hunted down defeated and stopped before they kill again! Enough is enough! We need action and no more thoughts and prayers! The time has finally come!",0
"Hey . Are you going to say that 'Trump became President of the United States in that moment period !' You bald-headed idiot!",0
" How many do we have to lose How many do we have to see killed by a deadly weapon in the wrong hands!!! Do SOMETHING!",0
"another white dude goes nuts shoots a lot of strangers, what's new?",0
"everyday i say that nothing surprises me anymore, but what the fuck is wrong with this world we live in shooting",0
"exactly sadly, we haven't the moral strength to make the necessary changes no matter how many people die",0
"for the record, we don't f*ing care how wealthy and successful the asshole who killed 58 and injured close to 500 people was, that means nothing it doesn't make him a good person nor does the fact that he's white",0
"fuck moments of silence i vow here and now that i will never, ever, be silent on this topic again",0
"fuck sake can't even go to church but some arsehole opens fire thinking of everyone affected by this",0
"hope he rots in hell",0
"how could u (tourist) a put your life in danger but not for anything than covering ur ass 2 take photos of the victims?",0
"how on earth was one individual allowed to murder 50 and injure 200? were responders quick enough where was security?",0
"i hear no one mentioning that the shooting was a terrorist attack why? because it was committed by a white 64 y o man sadly it is",0
"i hope he rots in hell like all of these scumbag cowards he kills himself instead of facing arrest shooting",0
"i've wad called a fool for suggesting usa bans weapons! what ever! this foolish brit is less likely to be shot by a loone",0
"if everyone on the strip or jason aldean show had just had an automatic weapon shooting wouldn't have happened",0
"is it time yet to take action on gun control? sadly, i think we all know the answer to that question shooting",0
"it's so fucked up that these massacres aren t even a surprise anymore",0
"it's time for all highschool to stay home until congress passes gun legislation, and for parents to send a letter to their mocs 'please excuse my child 's absence today, he she is staying home because it 's too dangerous to come to school'",0
"just nutcases and i have no ideas for a solution i'm damned if it would stop me doing anything though",0
"make no mistake, human beings are the most savage species on earth, the deadliest mass shooting in american history",0
"many psychiatrists say trump has a dangerous mental illness trump signed a bill putting guns into the hands of the mentally ill trump bragged that he could shoot someone and not lose voters think about that",0
"ppl on left right politicizing shooting r nothing else but heartless cunts!",0
"president trump: no child, no teacher should ever be in danger in an american school",0
"sick bastards people can t even enjoy a concert because there are sixk people out there shooting",0
"soon people are going to be squawking about gun ctrl bc of shooting, but how less tragic if they'd been able to defend themselves?",0
"stop glorifying and worshipping weapons that have the ability to kill and injure hundreds in seconds",0
"taken away by a sick human being!",0
"the nra is doubling production of the offending assault rifle because americans are stupid and will buy them up",0
"the only way we the people can do anything to stop this gun nonsense is to vote out each republican every guntoting , wife beating , pussy grabbing one of them !",0
"there are some horrible cunts in this world",0
"this world is full of sick cunts, but there is more good than bad, killing innocent's is discusting",0
"thoughts and prayers sent to all caught up in the shooting horrific scenes i never want to see again but sadly i probably will",0
"thoughts prayers with all those affected by someones disgraceful sadistic act in shooting",0
"we condemn the shooting killing innocent and unarmed people won't achieve peace our prayers for those killed n injured",0
"we need to do something when it comes to all of this unnecessary violence and have better control of dangerous weapons",0
"when i say trump is dangerous, this is what i mean!",0
"yet again an arsehole attacking a place where people congregate to have fun and enjoy life utter utter bastard shooting",0
"﻿Another church shooting... I m disgusted by people",1
" get the hell off of my TV. His level of disrespect commenting on hero in is absolutely disgusting!",1
"Listening to weave his conspiracy theory about the is so fucking disgusting.",1
"As a Texan I m disgusted.",1
"I'm disgusted at America right now... again! So fed up with seeing this stuff in the news.",1
"If a mad person had an imaginary gun there wouldn't be a pile of dead bodies - your logic is disgusting.",1
"Outside (Canadian) looking in observing republicans online trying to play the blame game between muslims and antifa this AM is disgusting. More dead kids more evasion. You are depraved America.",1
"Wasn't going comment on as felt that was for others to do. Then I saw this disgusting opportunism just like appeal",1
