"text","categoria"
"I can be pro gun and pro gun control. For instance I'm pro sex but I think people shouldn't fuck 10 year olds.",0
"I don't ever remember hurting this much for complete strangers! My heart is so broken!",0
"Because of y'all be careful at the white anger is hazardous to our health",0
"For a place called The United States of America we sure some divided motherfuckers",0
"If can say about that if it's not a gun it'll be a grenade or a knife we are well and truly fucked.",0
" you fucking cowards are the reason can happen. Blood is on your NRA colluding hands",0
" is a what the fuck are they really up to",0
"The most dangerous population in the United States of America is White middle-aged men. These are facts not opinions.",0
"RT the fuck out of this!",0
" praise will be for the people in danger",0
"Great to read but typical republican...Until it happens to me why should I give a fuck .",0
"the more info about the shooting coming out the more I'm just what the fuck. /914996234326351872",0
"I am confused as to why healthcare for all is dangerous socialist tripe and gun ownership is freedom's beacon of light.",0
"Hey - you MIGHT want to ensure all your players stand the fuck up tonight and just listen to the song.",0
"This is the fucked up... what has our world turned into.... fuck trump",0
" you are all fucking terrorist",0
"For fucks sake. When is it actually enough for you guys to wake up and pass gun control laws 4936783787429888",0
"Can we stop fucking killing each other already !! You're not gonna get your way by doing this.",0
"How in the actual fuck is a lunatic mowing down innocent people at a concert about gender and race",0
"And stop with this lone wolf shit. Call him wtf he really is. A damn terrorist thug and a fucking coward. Mother fucker wanna kill himself the punk bitch didn't have the balls to face the consequences of what he did",0
"Seriously what the fuck",0
"My real question is how I m the fuck did this man get 10 rifles into his hotel room what were the hotel workers doing",0
"One crazy fucker killed many good people today. Today I pray for the families And i say fuck you to the one responsible",0
"This whole has me all fucked up. I didn't know anyone personally but just the fact that this happened in a place...",0
"Alex Jones is obviously a paranoid schizophrenic. Oh and a fucking douche bag.",0
"Guns are like toys this is horrifying !!! gun-control must be more strict this isn't a fuckin GTA V world this is real world real innocent lives .. spraying bullets on a huge crowd how the fuck did he got to that weapon cache He's a psychopath fuck him",0
"The fact that you can buy that volume of guns and it does not set off a red flag in system is dangerous and devastating.",0
"If you've never actually purchased a firearm and know nothing about the existing laws shut the fuck up about gun control",0
"and still the gun lobby is happy to keep America armed and dangerous. Time to quit the gun addiction.",0
"I appreciate all the thoughts and prayers for the but the best thing we can do is . 18 fucking guns",0
"This young man did more for shooting victims than fucktard in chief ever will. This is a REAL hero.",0
"People are absolutely fucking retarded. Sometimes I really wonder if Adults even have brains....just my train of thought.",0
"Madness is what you demonstrate. And that's exactly how anger works and operates",0
"Also.... more praise to law enforcement who ran to the danger when everyone else ran away",0
" screams for . If you were ok with and dead kids and still cried for 2A you just might be a fucktard",0
"Try standing up to the psychotic Trump hating wing of your fucked up party. That s who s responsible not .",0
"Uncontrollable ppl means gun control needed. Yes that means the crazy ppl have fucked it all up for the nice gun owners.",0
"I'm getting pretty fucking tired of everyone's thoughts and prayers... The world needs action not positive vibes.",0
"Are you going to just say that assault weapons don't exist They sure fucking do and were ONE of the reasons the happened",0
"I m so sick of the media saying the perpetrator was a lone wolf. He s a terrorist. A fucking domestic terrorist",0
"When tragedies like this occur I just get pissed off instead of upset. People are dead and others take advantage of it!",0
"What the fuck is wrong with this asshole 4898641462145024",0
"I don't have words for such fucking horrible people doing THIS to innocent human beings",0
"Mark Hutchinson just said it's been a great day for America at the press conference. What a fucking scumbag!",0
"I'm sorry I know it's harsh but thoughts and prayers do exactly fuck all for the victims and their families",0
" Some people fuck some shoot guns",0
"I'll say with a much emphasis as it deserves. Who gives a fuck what Bill O'Reilly says",0
"WE as a society are getting dangerously used to violence and loss of innocent lives. EVERYWHERE. Time for zero tolerance !",0
"I hope whoever did that shit in Vegas gets raped by Satan in hell. That's fucked up beyond belief.",0
"The guy who did the is a fucking terrorist. and you are a hypocrite",0
"What the fuck is going on man.",0
"The worlds a fucked up place ...",0
"3: Make it double illegal to own any gun so millions of imported America Hating Muslims can REALLY fuck us over.",0
"It's fucked up that you think that it's some sort of competition. Are you 10",0
"Stop arguing about gun control IMMEDIATELY after a tragedy takes place ffs. Srsly fuck you morons and fuck you Paddock.",0
"If you're pissed and feeling helpless like me ideas on how to help now",0
"So this is how I fucking wake up this morning Another fucking shooting with another fucking machine gun",0
"Imagine if ppl were as pissed off about this guy exercising his 2nd amendment right as they r abt NFL players",0
"The man had everything he can ever wanted and he went fucking crazy in go shooting people like it's normal",0
"Oh my fucken lord praying for the victims Just hope they didn't suffer of pain.",0
"All those pissed at that CBS lawyer....throw a little over here aye",0
