"text","categoria"
"﻿The world is an awful place",0
"I can't believe people died because they wanted to see their favorite artist live. The world is such a fucked up place",0
"I can see humans but no humanity... what the f is wrong with the world?",0
" saying what everyone else is thinking! don't put terrorists in prison etc etc just fucking hang them!",0
"Can't believe this happened like why would you target a bunch of young  innocent people?!",0
"There's a special place in hell for all you apologists",0
"What have we've done to the world? Look what we've done  what about all the peace that you pledge your only son?",0
"And what a shit week its been so far for the world!",0
"I feel so sad and angry that such evil can exist in this world. It is absolutely heartbreaking.",0
"Idiots who make jokes on terrorist attacks are the lowest of the low! Heartless cruel insensitive bastards",0
"  why is there so much fucking violence like why did it start were all humans were all different sostop violence",0
"This is so sick! The world is breaking! We had a Terror Attack in Sweden as well.",0
"We live in such a fucked up society people shouldn't fear for their lives in places full of happiness",0
"Britain will stand strong against terrorism. We will NOT be beaten.",0
"Living in fear is the worst but don't let the bastards win  that's how they want us to feel! WE ARE NOT SCARED OF YOU",0
"people like this make me so angry how can you have no respect for those that died or experienced the horror that happened",0
"A thought to Isis: Allah says not to force Islam on people not to kill children. You are not Muslims. You are terrorists.",0
"Goodnight you horrible people. Hope your life suffers... blame Islam one more time you'll wish you never did",0
" Make a change people! It has to stop Prayers to all the victims and their families",0
"We live in a very sick and twisted world",0
"How long will it take before people forget what happened and security stop checking people again",0
"Absolutely heart breaking news today when will all this ever end?",0
"Why kill young people? What does that achieve? You killed an 8 year old  how did she doing thing to you?",0
"Cannot get over what happened in Manchester  such a sick world!",0
"This world is savage and f'd up  the hate needs to stop people.",0
"If this stupid idiots think they are going to scare us they can keep thinking cause we won't stop living",0
" Stop praying  do something about the radical Islam. It's time for liberals to wake up and stop supporting terrorists.",0
"Absolutely heartbreaking watching the news today some sick motherf****** out there",0
"This is so unreal this fucking unmerciful what's wrong with this world I don't want to live here anymore",0
"who the fuck considered this horror to be right and did it? burn in hell  prick up your ass.",0
"I'm so fucking tired of this sick world  I'm so so so sorry with Manchester.",0
"This makes me so angry and so sad wtf is wrong with this world?!",0
"STOP BLAMING MUSLIMS FOR WHAT HAPPENED THEY WERE THE ONES WHO WERE HELPING FANS LAST NIGHT.",0
"     y aren't ANY of u reporting on the horrors happening now in  ?  AND",0
"My heart breaks... this is a horrible world it makes me sick that people want to do this shit to innocent people",0
"i'm in disbelief that someone would bomb a concert w thousands of innocent kids... that is so fucked up",0
"its crazy to think how fucked up this world is man",0
"i will never be able to comprehend how people can be so fucking evil",0
"Cliched as fuck  but you really have to enjoy every day as if it's your last still can't believe it.",0
"Yo  i dont like ariana grande but this is fucked up  feel bad for those children",0
" I heard the devastating news. It is such a horrible  evil  fucked up thing to do. My heart is heavy thinking about the",0
"How the fuck can people say it's Ariana's fault? She loves her fans above everything and she's heart broken!",0
"And by the way  are the motherfucking terrorists targeting now teenagers and kids??? That was low even for them...",0
"How can a human being do a thing like this.This is so fucking awful I can't understand. Im so sad I cant say anything",0
"Still can't believe it  fucking cowards.",0
" love should win against that fucking murder",0
"Why        and all the other praying is fucking useless and idiotic:  youtu.be/m5t7xZZkqvE",0
"The world is a fucked up place but  tonight we have shown LOVE conquers HATE!",0
"the fuck is wrong with people?",0
"a better way would be to fuck all of them on the watch list out of this county",0
"The world is a fucked up place..",0
"What is the world coming to !! Seriously when is the government gonna wake the fuck up",0
"Honestly kind of tired of living in such a fucked up world",0
"This is fuckin stupid another terrorist attack     2 our emergency services",0
"FUCK ALL THE TERRORISTS IN THE WORLD 22 souls in Manchester and now more at Westminster fuck you all",0
"What the fuck is going on? When did it get this bad?",0
"Our world is so fucked right now. Everyone please stay safe",0
"Less than two weeks ago it was  now its  this world is fucked up. when will it stop . Stay safe everyone!",0
"there's an incident every fuckin week at the moment what the hell",0
"The world is fucked up",0
"What the fuck is the world coming to",0
"What the fuck is going on in the world!",0
"How have I become so unaware of this inhumanity. Two attacks. This world is fucked up.",0
"u know whats fucked? coming out of their fkn holes to  but disappearing for the others.",0
"Probably because she's not a fucking terrorist  she didn't make that happen  she's a victim as well",0
"The uk we just need to grap a cup of tea and tell them to fuck off",0
" heard about ur concert. not your fault that a fucking coward killed and injured people stay strong",0
"If you're making jokes about what happened In Manchester show you are a fucking piece of shit.",0
